Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Subscription Status,Previous Purchases,Frequency of Purchases
55,Male,Blouse,Clothing,53,Kentucky,L,Gray,Winter,Yes,14,Fortnightly
19,Male,Sweater,Clothing,64,Maine,L,Maroon,Winter,Yes,2,Fortnightly
50,Male,Jeans,Clothing,73,Massachusetts,S,Maroon,Spring,Yes,23,Weekly
21,Male,Sandals,Footwear,90,Rhode Island,M,Maroon,Spring,Yes,49,Weekly
45,Male,Blouse,Clothing,49,Oregon,M,Turquoise,Spring,Yes,31,Annually
46,Male,Sneakers,Footwear,20,Wyoming,M,White,Summer,Yes,14,Weekly
63,Male,Shirt,Clothing,85,Montana,M,Gray,Fall,Yes,49,Quarterly
27,Male,Shorts,Clothing,34,Louisiana,L,Charcoal,Winter,Yes,19,Weekly
26,Male,Coat,Outerwear,97,West Virginia,L,Silver,Summer,Yes,8,Annually
57,Male,Handbag,Accessories,31,Missouri,M,Pink,Spring,Yes,4,Quarterly
53,Male,Shoes,Footwear,34,Arkansas,L,Purple,Fall,Yes,26,Bi-Weekly
30,Male,Shorts,Clothing,68,Hawaii,S,Olive,Winter,Yes,10,Fortnightly
61,Male,Coat,Outerwear,72,Delaware,M,Gold,Winter,Yes,37,Fortnightly
65,Male,Dress,Clothing,51,New Hampshire,M,Violet,Spring,Yes,31,Weekly
64,Male,Coat,Outerwear,53,New York,L,Teal,Winter,Yes,34,Weekly
64,Male,Skirt,Clothing,81,Rhode Island,M,Teal,Winter,Yes,8,Monthly
25,Male,Sunglasses,Accessories,36,Alabama,S,Gray,Spring,Yes,44,Bi-Weekly
53,Male,Dress,Clothing,38,Mississippi,XL,Lavender,Winter,Yes,36,Quarterly
52,Male,Sweater,Clothing,48,Montana,S,Black,Summer,Yes,17,Weekly
66,Male,Pants,Clothing,90,Rhode Island,M,Green,Summer,Yes,46,Bi-Weekly
21,Male,Pants,Clothing,51,Louisiana,M,Black,Winter,Yes,50,Every 3 Months
31,Male,Pants,Clothing,62,North Carolina,M,Charcoal,Winter,Yes,22,Quarterly
56,Male,Pants,Clothing,37,California,M,Peach,Summer,Yes,32,Annually
31,Male,Pants,Clothing,88,Oklahoma,XL,White,Winter,Yes,40,Weekly
18,Male,Jacket,Outerwear,22,Florida,M,Green,Fall,Yes,16,Weekly
18,Male,Hoodie,Clothing,25,Texas,M,Silver,Summer,Yes,14,Annually
38,Male,Jewelry,Accessories,20,Nevada,M,Red,Spring,Yes,13,Annually
56,Male,Shorts,Clothing,56,Kentucky,L,Cyan,Summer,Yes,7,Every 3 Months
54,Male,Handbag,Accessories,94,North Carolina,M,Gray,Fall,Yes,41,Every 3 Months
31,Male,Dress,Clothing,48,Wyoming,S,Black,Fall,Yes,14,Weekly
57,Male,Jewelry,Accessories,31,North Carolina,L,Black,Winter,Yes,16,Monthly
33,Male,Dress,Clothing,79,West Virginia,L,Brown,Winter,Yes,45,Monthly
36,Male,Jacket,Outerwear,67,Kansas,M,Silver,Summer,Yes,37,Annually
54,Male,Pants,Clothing,38,Colorado,L,Green,Summer,Yes,45,Quarterly
36,Male,T-shirt,Clothing,91,North Dakota,L,Violet,Spring,Yes,38,Quarterly
54,Male,Blouse,Clothing,33,Massachusetts,M,Cyan,Summer,Yes,48,Bi-Weekly
35,Male,T-shirt,Clothing,69,Illinois,M,Maroon,Winter,Yes,44,Fortnightly
35,Male,Jeans,Clothing,45,Indiana,S,Cyan,Summer,Yes,10,Weekly
29,Male,Dress,Clothing,37,Florida,M,Red,Winter,Yes,44,Every 3 Months
70,Male,Pants,Clothing,60,Arizona,S,Turquoise,Summer,Yes,18,Monthly
69,Male,Handbag,Accessories,76,Louisiana,L,Beige,Winter,Yes,31,Quarterly
67,Male,Scarf,Accessories,39,Alaska,M,Orange,Spring,Yes,40,Annually
20,Male,Coat,Outerwear,100,Tennessee,M,Beige,Spring,Yes,15,Annually
25,Male,Scarf,Accessories,69,Ohio,L,Lavender,Fall,Yes,19,Fortnightly
39,Male,Hat,Accessories,53,Kentucky,S,Silver,Summer,Yes,45,Weekly
50,Male,Socks,Clothing,21,Tennessee,XL,Indigo,Fall,Yes,25,Annually
57,Male,Shirt,Clothing,43,California,L,White,Summer,Yes,45,Quarterly
55,Male,Jewelry,Accessories,54,Montana,M,Charcoal,Winter,Yes,36,Weekly
42,Male,Shirt,Clothing,55,Nevada,M,Orange,Summer,Yes,38,Monthly
68,Male,Hoodie,Clothing,30,New Jersey,S,Indigo,Spring,Yes,34,Bi-Weekly
49,Male,Blouse,Clothing,28,Maryland,M,Red,Spring,Yes,39,Bi-Weekly
59,Male,Skirt,Clothing,59,Vermont,XL,Gray,Winter,Yes,7,Quarterly
42,Male,T-shirt,Clothing,20,Alaska,M,Green,Summer,Yes,26,Weekly
29,Male,Skirt,Clothing,24,Mississippi,S,Peach,Winter,Yes,35,Weekly
47,Male,Coat,Outerwear,94,New Mexico,M,Brown,Summer,Yes,35,Bi-Weekly
40,Male,Jacket,Outerwear,28,South Carolina,M,Lavender,Winter,Yes,49,Annually
41,Male,Backpack,Accessories,73,Mississippi,XL,Brown,Summer,Yes,46,Weekly
21,Male,Coat,Outerwear,64,West Virginia,M,White,Summer,Yes,17,Fortnightly
69,Male,Hoodie,Clothing,54,Missouri,M,Charcoal,Summer,Yes,29,Monthly
63,Male,Belt,Accessories,79,Louisiana,L,Yellow,Spring,Yes,4,Weekly
50,Male,Sweater,Clothing,37,Idaho,L,Brown,Summer,Yes,17,Weekly
55,Male,Scarf,Accessories,68,Texas,M,Orange,Winter,Yes,21,Every 3 Months
30,Male,Sneakers,Footwear,21,Mississippi,S,Magenta,Spring,Yes,31,Fortnightly
33,Male,Sunglasses,Accessories,79,Arizona,L,Lavender,Winter,Yes,43,Weekly
65,Male,Boots,Footwear,83,Alabama,S,Green,Fall,Yes,18,Fortnightly
